昵称,地区,日期,产品,评论,评分
8***3,福建,2024-09-10 13:33:08,杏绿色（无饰品）,一下感觉走气质路线了，设计版型也超nice，设计的也是很用心了，上身之后很时尚气质！喜欢喜欢,5
j***v,福建,2024-07-24 09:22:12,杏绿色（无饰品）,这款连衣裙很好看，面料和做工都很棒，穿上很显瘦，超满意的。,5
4***s,福建,2024-08-07 14:43:06,杏绿色（无饰品）,穿着正合适，很气质的小裙，版型面料都很正，上身显温柔，爱了,5
i***f,广东,2024-08-10 14:40:42,杏绿色（无饰品）,穿着很有气质的一款长裙，显高显瘦，面料也很舒服，很喜欢,5
0***5,福建,2024-07-27 09:56:57,杏绿色（无饰品）,裙子收到了，上身效果好好看，面料也好舒服呀，相对来说性价比非常高，喜欢的亲们可以下手啦。,5
u***g,山东,2024-05-24 22:00:15,杏绿色（无饰品）,旗袍很漂亮，面料舒服，颜色清新，款式好看，满意的一次购物。,5
j***n,广东,2024-07-11 10:16:58,杏绿色（无饰品）,质感很好呢，版型简直就是显瘦神器，面料看得见的好，,5
j***2,重庆,2024-08-09 09:24:03,杏绿色（无饰品）,和描述相符穿上很合身哦，满意，上身超级好看，非常非常显瘦，是我喜欢的版型,5
j***8,福建,2024-05-19 10:43:46,杏绿色（无饰品）,款式风格很好的，面料舒服，穿着大小很合适，推荐一下手。,5
0***8,浙江,2024-08-20 13:59:36,杏绿色（无饰品）,小香风套装连衣裙都是我喜欢的款式，颜色也很正，面料柔软舒适,5
j***i,浙江,2024-07-13 18:50:11,杏绿色（无饰品）,非常好看的裙子，很有特色，面料也很舒服，超级给力。,5
j***p,福建,2024-09-04 11:17:02,杏绿色（无饰品）,裙子版型很OK，面料摸起来挺舒服，上身真的好减龄,5
2***t,福建,2024-05-31 11:00:21,杏绿色（无饰品）,裙子摸起来也很细腻，穿起来很合适，颜色很温柔哦,5
o***g,福建,2024-09-16 11:55:41,杏绿色（无饰品）,质感不错，上身效果很好，穿上舒服得很，尺码也挺合适的。,5
j***7,福建,2024-06-14 11:06:23,杏绿色（无饰品）,质感很好，穿着舒服，颜值也很高，卖家也很热情，绝对推荐。,5
j***l,福建,2024-08-08 18:12:29,杏绿色（无饰品）,面料非常舒服！上身效果特别棒！穿上优雅感满满,5
j***3,福建,2024-08-11 14:07:16,杏绿色（无饰品）,第一眼就喜欢的一款裙子，质量不错哦，很喜欢的，面料柔软舒服，包装完好无损的,5
j***9,甘肃,2024-05-25 15:28:45,杏绿色（无饰品）,收到了，面料材质感觉非常好，穿上挺合身的，款式也很新颖，本人表示很喜欢！,5
j***v,甘肃,2024-08-05 10:26:05,杏绿色（无饰品）,真的推荐啊，整体效果很美，穿在身上就感觉特别时尚有氛围感，超级稀饭啊啊,5
1***0,重庆,2024-06-26 10:11:47,杏绿色（无饰品）,版型不怎么挑身材，上身效果非常棒，这个材质真的爱了,5
j***x,浙江,2024-05-28 09:52:59,杏绿色（无饰品）,好看的！颜色很好看，材质也很舒服，版型正,5
3***3,甘肃,2024-09-13 14:03:34,杏绿色（无饰品）,真的一眼就抓住了我的心了，版型做得很好看！穿着是很舒服那种。,5
0***q,福建,2024-08-12 10:45:56,杏绿色（无饰品）,衣服很漂亮！质量也很不错，面料穿起来一点也不闷！！款式也很喜欢,5
j***3,浙江,2024-08-17 10:45:57,杏绿色（无饰品）,整体简约大方，没有花哨的设计元素，很显气质，任何女生见了都得***住。,5
j***a,广东,2024-06-24 10:20:49,杏绿色（无饰品）,料子的质量很好，看着很有质感，上身遮胯显瘦。,5
j***u,福建,2024-06-23 13:42:53,杏绿色（无饰品）,穿上特别的显气质，整体做工也不错，卖家服务也很周到。绝对推荐。,5
j***p,广东,2024-06-29 16:07:16,杏绿色（无饰品）,裙子收到了，很惊喜，超显身材，也特别显瘦，显高,5
j***2,福建,2024-05-18 14:18:31,杏绿色（无饰品）,做工很好，面料有质感，穿起来时尚。十分满意，很好的。,5
j***5,福建,2024-08-13 13:44:06,杏绿色（无饰品）,款式很喜欢，上身比较显身材，很漂亮，质量也非常好。,5
j***u,福建,2024-09-05 09:50:30,杏绿色（无饰品）,面料很舒服，款式很好看，上身效果不错,5
j***s,四川,2024-05-28 21:40:01,9361开衫+旗袍（无饰品）,一收到货就迫不及待地打开了，真的很棒！本以为是卖家秀，结果不管是颜色还是款式，还是手感都出乎意料的好，非常满意和喜欢，以后就在你家买了&hearts;,5
e***x,福建,2024-09-08 09:18:34,杏绿色（无饰品）,款式时尚洋气，上身效果很好，显瘦,5
7***5,甘肃,2024-08-05 10:02:35,杏绿色（无饰品）,拿到后发现质量很好呀，款式面料我都挺满意的，细节质量方面都处理得挺不错哒,5
2***b,福建,2024-09-12 11:39:32,杏绿色（无饰品）,有点文艺淑女范喔，上身效果很棒，拍照片好好看哇！,5
j***s,海外,2024-04-30 10:55:57,杏绿色（无饰品）,好看好看(｡･&omega;･｡)ﾉ♡超级好看，客服也很温柔，速度极快,5
8***k,福建,2024-08-16 10:08:54,杏绿色（无饰品）,舒适，非常好 。穿起来好看，修身，客服态度非常好，建议购买,5
j***6,甘肃,2024-06-09 11:39:50,杏绿色（无饰品）,很不错，很满意，质量很好，性价比很高，卖家发货很及时，做工方面很好的。,5
j***c,福建,2024-07-12 13:22:40,杏绿色（无饰品）,裙子好看呢上身巨好看，做工看得出来很好,5
y***g,福建,2024-09-01 12:09:15,杏绿色（无饰品）,真的巨出片，气质一整个死死的拿捏住，而且满满的质感,5
1***2,福建,2024-06-16 11:00:57,杏绿色（无饰品）,这条裙子的风格独特，很有个性，走在街上回头率超高。,5
a***f,福建,2024-07-19 11:02:17,杏绿色（无饰品）,裙子的质量特别好，包装也非常的精美，穿上时尚感满满。,5
5***d,福建,2024-08-26 12:59:31,杏绿色（无饰品）,非常好看的裙子，超级显瘦显高，而且还很遮肚子！！！！,5
j***g,福建,2024-08-03 13:48:30,杏绿色（无饰品）,好看好看好看~小仙女们冲呀，超级气质的一款，很独特~,5
p***n,福建,2024-08-23 14:30:46,杏绿色（无饰品）,衣服很时尚，大气，面料柔软舒适，穿上很显瘦， 很好看满意,5
j***r,福建,2024-07-15 10:04:12,杏绿色（无饰品）,很不错的裙子，穿起来很好看，显身材,5
q***7,福建,2024-07-23 17:14:25,杏绿色（无饰品）,太喜欢了，简直这个人气质都提上来了，显高而且穿上去感觉都瘦了！,5
j***4,福建,2024-07-14 14:54:13,杏绿色（无饰品）,非常有质感的一条裙子。物超所值。,5
j***x,江苏,2024-05-09 12:55:29,杏绿色（无饰品）,衣服拿出来就很平整直接上身试穿衣服款式很百搭休闲好看太喜欢了,5
j***n,福建,2024-05-29 10:15:47,杏绿色（无饰品）,太好看了，时尚感非常的好；款式风格也是非常棒的,5
4***r,福建,2024-08-21 11:26:15,杏绿色（无饰品）,很漂亮！新中式大小姐感拿捏了 做工也很精细 真的特别特别喜欢！！,5
0***h,浙江,2024-05-07 09:26:56,杏绿色（无饰品）,是我喜欢的风格，小细节的设计很棒氛粉嫩嫩的上身超级哇塞！,5
j***5,甘肃,2024-05-15 09:46:00,杏绿色（无饰品）,京东购物挺好的，质量也挺好的，上身效果不错。款式漂亮，客服态度很好。,5
2***r,广东,2024-07-22 08:25:33,杏绿色（无饰品）,这条裙子我真是越看越喜欢，做工特别的细致，达到了预期值，很开心的一次购物。,5
j***9,江苏,2024-05-14 12:10:03,杏绿色（无饰品）,刚刚好非常合身的那种裙子是过膝的长度腰线真的很绝很显身材,5
9***h,甘肃,2024-08-24 10:46:55,杏绿色（无饰品）,质量特别好，帮朋友买的，她很喜欢，版型显瘦,5
j***a,甘肃,2024-07-17 18:17:04,杏绿色（无饰品）,裙子的质量很好，穿着特别舒服，非常值得入手。,5
我***复,北京,2024-08-30 13:38:15,杏绿色（无饰品）,收到货，第一时间拆包装，感觉质量还是比较好的，与卖家描述的还是一致的，非常满意，发货速度比较快，物流公司服务态度很好，运送速度很快，总的来说这次是很满意的一次购物，,5
i***7,广东,2024-07-09 10:10:25,杏绿色（无饰品）,这条裙子真的很漂亮，上身气质感满满，很满意。,5
